what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Apple Inc.",1291846868805
java.version,sysinfo,,,"1.6.0_22",1291846868805
java.vm.info,sysinfo,,,"mixed mode",1291846868805
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1291846868805
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1291846868805
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291846868805
java.vm.specification.version,sysinfo,,,"1.0",1291846868805
java.vm.vendor,sysinfo,,,"Apple Inc.",1291846868805
java.vm.version,sysinfo,,,"17.1-b03-307",1291846868805
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1291846869100
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20100505,"org.eclipse.jdt.launching.macosx",1291846869161
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1291846869670
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1291846870094
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1291846870475
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1291846870578
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1291846870590
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1291846871623
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1291846871810
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1291846872095
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1291846872204
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1291846872235
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291846896134
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1291846900905
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1291846901722
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1291846907112
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1291846907166
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1291846909319
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291846909692
error,log,,,"No command output when running: 'am start -n edu.stanford.qcn.qcnlive/edu.stanford.qcn.qcnlive.qcnlive -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1291846997939
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291847206024
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291847206982
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291847211106
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291847211483
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291848093366
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291848095550
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291848097761
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291848101198
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1291848104574
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1291848104596
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1291848104663
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1291848104707
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1291848104736
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1291848104753
stopped,bundle,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.adt",1291848104753
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1291848104782
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1291848104822
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1291848104822
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1291848104877
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1291848104994
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1291848105133
